LEXENTRY:	ESTR	ESTRADA	TYPE	DET_PRE
LEXENTRY:	ESTR DA	ESTRADA DA	TYPE	DET_PRE
LEXENTRY:	ESTR DAS	ESTRADA DAS	TYPE	DET_PRE
LEXENTRY:	ESTR DE	ESTRADA DE	TYPE	DET_PRE
LEXENTRY:	ESTR DO	ESTRADA DO	TYPE	DET_PRE
LEXENTRY:	ESTR DOS	ESTRADA DOS	TYPE	DET_PRE
LEXENTRY:	ESTR.	ESTRADA	TYPE	DET_PRE
LEXENTRY:	ESTR. DA	ESTRADA DA	TYPE	DET_PRE
LEXENTRY:	ESTR. DAS	ESTRADA DAS	TYPE	DET_PRE
LEXENTRY:	ESTR. DE	ESTRADA DE	TYPE	DET_PRE
LEXENTRY:	ESTR. DO	ESTRADA DO	TYPE	DET_PRE
LEXENTRY:	ESTR. DOS	ESTRADA DOS	TYPE	DET_PRE
LEXENTRY:	ESTRADA	ESTRADA	TYPE	DET_PRE
LEXENTRY:	ESTRADA DA	ESTRADA DA	TYPE	DET_PRE
LEXENTRY:	ESTRADA DAS	ESTRADA DAS	TYPE	DET_PRE
LEXENTRY:	ESTRADA DE	ESTRADA DE	TYPE	DET_PRE
LEXENTRY:	ESTRADA DO	ESTRADA DO	TYPE	DET_PRE
LEXENTRY:	ESTRADA DOS	ESTRADA DOS	TYPE	DET_PRE
LEXENTRY:	EVORA	EVORA                            	PROV	DETACH
LEXENTRY:	FARO	FARO	PROV	DETACH
LEXENTRY:	G.	GOMES	WORD	DETACH
LEXENTRY:	GOMES	GOMES	WORD	DETACH
LEXENTRY:	GUARDA	GUARDA	PROV	DETACH
LEXENTRY:	INF.	INFANTE	WORD	DETACH
LEXENTRY:	INFANTE	INFANTE	WORD	DETACH
LEXENTRY:	L	LARGO	TYPE	DET_PRE
LEXENTRY:	L DA	LARGO DA	TYPE	DET_PRE
LEXENTRY:	L DAS	LARGO DAS	TYPE	DET_PRE
LEXENTRY:	L DE	LARGO DE	TYPE	DET_PRE
LEXENTRY:	L DO	LARGO DO	TYPE	DET_PRE
LEXENTRY:	L DOS	LARGO DOS	TYPE	DET_PRE
LEXENTRY:	L.	LARGO	TYPE	DET_PRE
LEXENTRY:	L. DA	LARGO DA	TYPE	DET_PRE
LEXENTRY:	L. DAS	LARGO DAS	TYPE	DET_PRE
LEXENTRY:	L. DE	LARGO DE	TYPE	DET_PRE
LEXENTRY:	L. DO	LARGO DO	TYPE	DET_PRE
LEXENTRY:	L. DOS	LARGO DOS	TYPE	DET_PRE
LEXENTRY:	LARGO	LARGO	TYPE	DET_PRE
LEXENTRY:	LARGO DA	LARGO DA	TYPE	DET_PRE
