LEXICON:	pagc-converted	USA	en_US	
LEXENTRY:	AVENIDA	AVENIDA	TYPE	
LEXENTRY:	AVENU	AVENUE	TYPE	
LEXENTRY:	AVENUE	AVENUE	TYPE	
LEXENTRY:	AVENUES	AVENUES	WORD	
LEXENTRY:	AVES	AVENUES	WORD	
LEXENTRY:	AVN	AVENUE	TYPE	
LEXENTRY:	AVNUE	AVENUE	TYPE	
LEXENTRY:	AVON BY SEA	AVON BY THE SEA	CITY	
LEXENTRY:	AVON BY THE SEA	AVON BY THE SEA	CITY	
LEXENTRY:	AVS	AVENUES	WORD	
LEXENTRY:	AZ	ARIZONA	PROV,WORD,ROAD	
LEXENTRY:	B C	BRITISH COLUMBIA	PROV,WORD,ROAD	
LEXENTRY:	BA	BAY	TYPE	
LEXENTRY:	BAJO	BAJOS	UNITH	
LEXENTRY:	BAJOS	BAJOS	UNITH	
LEXENTRY:	BANK	BANK	WORD	
LEXENTRY:	BARRIO	BOROUGH	WORD	
LEXENTRY:	BASEMENT	BASEMENT	UNITT	
LEXENTRY:	BASIN	BASIN	WORD	
LEXENTRY:	BASN	BASIN	WORD	
LEXENTRY:	BAY	BAY	UNITH,WORD,TYPE	
LEXENTRY:	BAY STATE	BAY STATE	WORD	
LEXENTRY:	BAYOU	BAYOU	WORD	
LEXENTRY:	BAYOU LA BATRE	BAYOU LA BATRE	CITY	
LEXENTRY:	BAZAAR	BAZAAR	BUILDT	
LEXENTRY:	BAZR	BAZAAR	BUILDT	
LEXENTRY:	BC	BRITISH COLUMBIA	PROV,WORD,ROAD	
LEXENTRY:	BCH	BEACH	WORD,TYPE	
LEXENTRY:	BD	BOULEVARD	TYPE	
LEXENTRY:	BDG	BUILDING	BUILDT,BUILDH	
LEXENTRY:	BDNG	BUILDING	BUILDT,BUILDH	
LEXENTRY:	BDWY	BROADWAY	WORD	
LEXENTRY:	BE	BEND	TYPE	
LEXENTRY:	BEACH	BEACH	WORD,TYPE	
LEXENTRY:	BEND	BEND	WORD,TYPE	
LEXENTRY:	BETWEEN	BETWEEN	WORD	
LEXENTRY:	BG	BURG	WORD	
LEXENTRY:	BH	BEACH	TYPE	
LEXENTRY:	BIRD IN HAND	BIRD IN HAND	CITY	
LEXENTRY:	BL	BOULEVARD	TYPE	
LEXENTRY:	BLD	BUILDING	BUILDT,BUILDH	
LEXENTRY:	BLDG	BUILDING	BUILDT,BUILDH	
LEXENTRY:	BLDING	BUILDING	BUILDT,BUILDH	
LEXENTRY:	BLDNG	BUILDING	BUILDT,BUILDH	
LEXENTRY:	BLF	BLUFF	WORD,TYPE	
LEXENTRY:	BLG	BUILDING	BUILDT,BUILDH	
LEXENTRY:	BLUF	BLUFF	WORD	
LEXENTRY:	BLUFF	BLUFF	WORD,TYPE	
LEXENTRY:	BLV	BOULEVARD	TYPE	
LEXENTRY:	BLVD	BOULEVARD	TYPE	
LEXENTRY:	BLVR	BULEVAR	TYPE	
LEXENTRY:	BND	BEND	WORD,TYPE	
LEXENTRY:	BNK	BANK	WORD	
LEXENTRY:	BO	BOROUGH	WORD	
LEXENTRY:	BO	BOURG	TYPE	
LEXENTRY:	BOIS D ARC	BOIS D ARC	CITY	
LEXENTRY:	BOIS D'ARC	BOIS D ARC	CITY	
LEXENTRY:	BOITE	BOITE	BOXH	
LEXENTRY:	BOITE POSTALE	BOITE POSTALE	BOXH	
LEXENTRY:	BORO	BOROUGH	WORD	
LEXENTRY:	BOROUGH	BOROUGH	WORD	
LEXENTRY:	BOT	BOTTOM	UNITT,WORD	
LEXENTRY:	BOTTM	BOTTOM	UNITT,WORD	
LEXENTRY:	BOTTOM	BOTTOM	UNITT,WORD	
LEXENTRY:	BOUL	BOULEVARD	TYPE	
LEXENTRY:	BOULEVARD	BOULEVARD	TYPE	
LEXENTRY:	BOULV	BOULEVARD	TYPE	
LEXENTRY:	BOURG	BOURG	TYPE	
LEXENTRY:	BOX	BOX	BOXH,WORD	
LEXENTRY:	BOX NO	BOX	BOXH	
LEXENTRY:	BP	BOITE POSTALE	BOXH	
LEXENTRY:	BP	BYPASS	TYPE,QUALIF	
LEXENTRY:	BR	BRANCH	WORD	
LEXENTRY:	BRANCH	BRANCH	WORD	
LEXENTRY:	BRDG	BRIDGE	WORD	
LEXENTRY:	BRDGE	BRIDGE	WORD	
LEXENTRY:	BRDWY	BROADWAY	WORD	
LEXENTRY:	BRG	BRIDGE	WORD,TYPE	
LEXENTRY:	BRIDGE	BRIDGE	WORD	
LEXENTRY:	BRIDGES	BRIDGE	WORD	
LEXENTRY:	BRITISH COLUMBIA	BRITISH COLUMBIA	PROV,WORD	
LEXENTRY:	BRK	BROOK	WORD	
LEXENTRY:	BROADWAY	BROADWAY	WORD	
LEXENTRY:	BROOK	BROOK	WORD	
LEXENTRY:	BRWY	BROADWAY	WORD	
LEXENTRY:	BSMNT	BASEMENT	UNITT	
LEXENTRY:	BSMT	BASEMENT	UNITT	
LEXENTRY:	BSPK	BUSINESS PARK	BUILDT	
LEXENTRY:	BSRT	BUSINESS ROUTE	ROAD	
LEXENTRY:	BSRTE	BUSINESS ROUTE	ROAD	
LEXENTRY:	BST	BASEMENT	UNITT	
LEXENTRY:	BTM	BOTTOM	WORD	
LEXENTRY:	BTWN	BETWEEN	WORD	
LEXENTRY:	BUENA VISTA	BUENA VISTA	WORD	
LEXENTRY:	BUILD	BUILDING	BUILDT,BUILDH	
LEXENTRY:	BUILDING	BUILDING	BUILDT,BUILDH	
LEXENTRY:	BUILDING NUMBER	#	BUILDH	
LEXENTRY:	BUILDNG	BUILDING	BUILDT,BUILDH	
LEXENTRY:	BULDNG	BUILDING	BUILDT,BUILDH	
LEXENTRY:	BULEVAR	BULEVAR	TYPE	
LEXENTRY:	BUR	BUREAU	UNITT	
LEXENTRY:	BUREAU	BUREAU	UNITH,WORD,UNITT	
LEXENTRY:	BURG	BURG	WORD	
LEXENTRY:	BUS	BUSINESS	QUALIF	
LEXENTRY:	BUS CENTER	BUSINESS PARK	BUILDT	
LEXENTRY:	BUS CENTR	BUSINESS PARK	BUILDT	
LEXENTRY:	BUS CTR	BUSINESS PARK	BUILDT	
LEXENTRY:	BUS PARK	BUSINESS PARK	BUILDT	
LEXENTRY:	BUS PK	BUSINESS PARK	BUILDT	
LEXENTRY:	BUSCENTER	BUSINESS PARK	BUILDT	
LEXENTRY:	BUSCENTR	BUSINESS PARK	BUILDT	
LEXENTRY:	BUSCTR	BUSINESS PARK	BUILDT	
LEXENTRY:	BUSINESS	BUSINESS	QUALIF,WORD	
LEXENTRY:	BUSINESS CENTER	BUSINESS PARK	BUILDT	
LEXENTRY:	BUSINESS CENTR	BUSINESS PARK	BUILDT	
LEXENTRY:	BUSINESS CTR	BUSINESS PARK	BUILDT	
LEXENTRY:	BUSINESS PARK	BUSINESS PARK	BUILDT	
LEXENTRY:	BUSINESS PK	BUSINESS PARK	BUILDT	
LEXENTRY:	BUSPARK	BUSINESS PARK	BUILDT	
LEXENTRY:	BUSPK	BUSINESS PARK	BUILDT	
LEXENTRY:	BUSROUTE	BUSINESS ROUTE	ROAD	
LEXENTRY:	BUSRT	BUSINESS ROUTE	ROAD	
LEXENTRY:	BUSRTE	BUSINESS ROUTE	ROAD	
LEXENTRY:	BV	BOULEVARD	TYPE	
LEXENTRY:	BX	BOX	BOXH	
LEXENTRY:	BY	BY	WORD	
LEXENTRY:	BY	BYWAY	TYPE	
LEXENTRY:	BY PASS	BYPASS	QUALIF,TYPE	
LEXENTRY:	BY WAY	BYWAY	TYPE	
LEXENTRY:	BYP	BYPASS	QUALIF,TYPE	
LEXENTRY:	BYPA	BYPASS	QUALIF,TYPE	
LEXENTRY:	BYPAS	BYPASS	QUALIF,TYPE	
LEXENTRY:	BYPASS	BYPASS	QUALIF,TYPE	
LEXENTRY:	BYPS	BYPASS	QUALIF,TYPE	
LEXENTRY:	BYU	BAYOU	WORD	
LEXENTRY:	BYWAY	BYWAY	TYPE	
LEXENTRY:	C	C	SINGLE	
LEXENTRY:	C / O	CARE OF	DASH	
LEXENTRY:	C D O	COMMERCIAL DEALERSHIP	BUILDT	
LEXENTRY:	C F B	CANADIAN FORCES BASE	BUILDT	
LEXENTRY:	C M C	COMMUNITY MAIL CENTRE	BUILDT	
LEXENTRY:	C R	COUNTY ROAD	ROAD,TYPE	
LEXENTRY:	C/O	CARE OF	DASH	
LEXENTRY:	CA	CALIFORNIA	PROV,WORD,ROAD	
LEXENTRY:	CA	CANADA	NATION	
LEXENTRY:	CA	CARRE	TYPE	
LEXENTRY:	CALIF	CALIFORNIA	PROV,WORD,ROAD	
LEXENTRY:	CALIFORNIA	CALIFORNIA	PROV,WORD	
LEXENTRY:	CALLE	CALLE	TYPE	
LEXENTRY:	CALLEJ	CALLEJON	TYPE	
LEXENTRY:	CALLEJA	CALLEJA	TYPE	
LEXENTRY:	CALLEJO	CALLEJON	TYPE	
LEXENTRY:	CALLEJON	CALLEJON	TYPE	
LEXENTRY:	CALLER	POST OFFICE BOX	BOXH	
LEXENTRY:	CAM	CAMINO	TYPE	
LEXENTRY:	CAMDEN ON GAULEY	CAMDEN ON GAULEY	CITY	
LEXENTRY:	CAMINITO	CAMINITO	TYPE	
LEXENTRY:	CAMINO	CAMINO	TYPE	
LEXENTRY:	CAMP	CAMP	WORD	
LEXENTRY:	CAMP H M SMITH	CAMP H M SMITH	CITY	
LEXENTRY:	CAMP HM SMITH	CAMP H M SMITH	CITY	
LEXENTRY:	CAMPER PARK	TRAILER PARK	BUILDT	
LEXENTRY:	CAMPER PK	TRAILER PARK	BUILDT	
LEXENTRY:	CAMPUS	CAMPUS	WORD,TYPE	
LEXENTRY:	CANADA	CANADA	NATION,WORD	
LEXENTRY:	CANADIAN FORCES BASE	CANADIAN FORCES BASE	BUILDT	
LEXENTRY:	CANYN	CANYON	WORD	
LEXENTRY:	CANYON	CANYON	WORD	
LEXENTRY:	CAPE	CAPE	WORD,TYPE	
LEXENTRY:	CARDIFF BY SEA	CARDIFF BY THE SEA	CITY	
LEXENTRY:	CARDIFF BY THE SEA	CARDIFF BY THE SEA	CITY	
LEXENTRY:	CARE OF	CARE OF	DASH	
LEXENTRY:	CARR	CARRETERA	TYPE	
LEXENTRY:	CARRE	CARRE	WORD,TYPE	
LEXENTRY:	CARREF	CARREFOUR	TYPE	
LEXENTRY:	CARREFOUR	CARREFOUR	TYPE	
LEXENTRY:	CARRETERA	CARRETERA	TYPE	
LEXENTRY:	CARRT	CARRETERA	TYPE	
LEXENTRY:	CASTLETON ON HUDSON	CASTLETON ON HUDSON	CITY	
LEXENTRY:	CAUSEWAY	CAUSEWAY	TYPE	
LEXENTRY:	CAVE IN ROCK	CAVE IN ROCK	CITY	
LEXENTRY:	CC	CIRCUIT	TYPE	
LEXENTRY:	CDN	CANADIAN	WORD	
